classification,median_pnl,mean_pnl,avg_trades
Extreme Greed,176965.491774,176965.491774,6962.0
Fear,6699925.190574,6699925.190574,133871.0
Greed,155.50335699999994,1063205.5117920002,12096.333333333334
Neutral,158742.378078,158742.378078,7141.0
