date,classification,total_closed_pnl,trades,Avg_price
2023-03-28,Greed,0.0,3,159.0
2023-11-14,Greed,155.50335699999994,1045,11057.8275215311
2024-03-09,Extreme Greed,176965.491774,6962,5660.265764148233
2024-07-03,Neutral,158742.378078,7141,3058.8481095084726
2024-10-27,Greed,3189461.032019,35241,2949.6258644760364
2025-02-19,Fear,6699925.190574,133871,5259.977836723413
